empresa,status_hoje,criado,valor,grupo,chave_match,kommo_lead_match,destino_proposto,motivo_perda,escreve,observacao
"Poliedro",follow_longo,2026-02-09,8583,sem lead no Kommo,"nome empresa (FRACO)",20606896,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Case BR",follow_longo,2025-07-22,8500,sem lead no Kommo,"nome empresa (FRACO)",13976530,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"S Cosméticos",follow_longo,2025-04-01,8500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Queveks",negociacao,2025-11-09,8004,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Kaballah Uniformes",negociacao,2025-11-14,8000,sem lead no Kommo,"nome empresa (FRACO)",16420085,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"GRAND OCEAN BOATS",follow_longo,2026-06-15,8000,sem lead no Kommo,"telefone (forte)",19784197,FILA MANUAL,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"Mondo Empreendimentos",follow_longo,2024-09-25,7617,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Instituto da Visão",follow_longo,2025-05-29,7500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Clinica Dr. Paulo",follow_longo,2026-03-19,7500,sem lead no Kommo,"nome empresa (FRACO)",21868829,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Autoforce",follow_longo,2025-04-02,7500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"S Cosmeticos do Bem",negociacao,2025-11-26,7200,sem lead no Kommo,"nome empresa (FRACO)",7235540,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Dreams Colchões",follow_longo,2025-09-25,7000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"SunBrindes",follow_longo,2024-11-23,6890,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Verde & Azul Urbanismo",negociacao,2026-05-13,6800,sem lead no Kommo,"telefone (forte)",10933369,baixa_prioridade,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"EdexLab",follow_longo,2025-03-18,6500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Rei dos Motores",follow_longo,2026-03-30,6500,sem lead no Kommo,"nome empresa (FRACO)",17814730,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Bella Casa & Okada",follow_longo,2025-02-11,6500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Inlab",follow_longo,2025-01-17,6244,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Condor",follow_longo,2025-04-29,6200,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Grupo Line",negociacao,2025-09-26,6160,sem lead no Kommo,"nome empresa (FRACO)",16310792,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Santaconstancia",follow_longo,2026-02-20,6160,sem lead no Kommo,"nome empresa (FRACO)",21035256,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Bep Energia",negociacao,2026-01-27,6110,sem lead no Kommo,"nome empresa (FRACO)",20490002,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Monster Films",follow_longo,2025-07-28,6000,sem lead no Kommo,"nome empresa (FRACO)",14096504,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Viva Construcoes",follow_longo,2025-10-13,6000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Kodak",follow_longo,2024-09-05,6000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Nagaura",follow_longo,2024-09-25,5977,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Sólides",negociacao,2025-09-24,5899,sem lead no Kommo,"nome empresa (FRACO)",16133578,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Conbral",follow_longo,2025-04-16,5839,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"RKL",follow_longo,2025-10-15,5800,sem lead no Kommo,"nome empresa (FRACO)",16871576,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Bild",follow_longo,2025-03-08,5800,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Equip",follow_longo,2024-10-01,5800,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"RVS Construções",follow_longo,2025-04-16,5680,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Nacional Parts",follow_longo,2025-11-03,5680,sem lead no Kommo,"nome empresa (FRACO)",17513444,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Granvia",follow_longo,2025-04-10,5570,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"PP Corp",follow_longo,2025-03-20,5570,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Kyma",follow_longo,2025-03-21,5500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"D1 Empreendimentos",follow_longo,2025-04-16,5500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Urbanus - TWA",follow_longo,2025-05-13,5500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Cora Brasil",follow_longo,2025-07-15,5500,sem lead no Kommo,"nome empresa (FRACO)",13725920,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Gold Car",follow_longo,2025-07-07,5449,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"AI Visage",follow_longo,2026-02-09,5200,sem lead no Kommo,"nome empresa (FRACO)",21050336,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Maxxmobi",follow_longo,2025-12-05,5000,sem lead no Kommo,"nome empresa (FRACO)",18732128,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Jairo ( indicação)",follow_longo,2025-01-25,5000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Jayamu",follow_longo,2024-09-23,5000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Clinic Spot",follow_longo,2025-07-07,5000,sem lead no Kommo,"nome empresa (FRACO)",13349503,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Sansão Log Rental",follow_longo,2026-03-09,5000,sem lead no Kommo,"nome empresa (FRACO)",21690289,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Lebi",follow_longo,2025-04-07,5000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Solgera",follow_longo,2025-09-09,5000,sem lead no Kommo,"nome empresa (FRACO)",15672050,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Aeromaxx",follow_longo,2025-07-03,4959,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Unifamec",follow_longo,2026-01-07,4800,sem lead no Kommo,"nome empresa (FRACO)",19908555,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Bike Xtreme",negociacao,2025-10-08,4800,sem lead no Kommo,"nome empresa (FRACO)",16574096,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"ELO Oftalmologista",follow_longo,2024-11-13,4685,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Zivia Empreendimentos",follow_longo,2025-05-16,4550,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Melly Empreenidmentos",follow_longo,2025-04-22,4500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Academia Elite",follow_longo,2025-02-05,4500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"De Mateo & Farias",follow_longo,2025-09-30,4500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Imobiliaria Praiana",follow_longo,2025-02-17,4500,sem lead no Kommo,"nome empresa (FRACO)",7235222,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"A panelinha",negociacao,2026-03-11,4500,sem lead no Kommo,"nome empresa (FRACO)",21837659,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Academia Cultura Física",follow_longo,2025-10-30,4500,sem lead no Kommo,"nome empresa (FRACO)",17514338,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Pressure",negociacao,2025-11-28,4500,sem lead no Kommo,"nome empresa (FRACO)",16128792,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"MAFRE",negociacao,2025-10-21,4500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Grupo Taurus",follow_longo,2025-09-09,4500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Lorenzzo Industrial",follow_longo,2024-09-17,4351,sem lead no Kommo,"nome empresa (FRACO)",7233892,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Z Incorporações",follow_longo,2024-09-03,4100,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Tibério",follow_longo,2026-01-14,4066,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"M Santos",follow_longo,2025-05-02,4000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Raízes Imobiliária",follow_longo,2026-03-25,4000,sem lead no Kommo,"nome empresa (FRACO)",22453443,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Hakim",follow_longo,2024-11-18,4000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Costa Araujo",follow_longo,2025-01-10,3987,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Hamonir",follow_longo,2026-02-03,3961,sem lead no Kommo,"nome empresa (FRACO)",19016800,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Mca Inteligencia",follow_longo,2025-01-14,3900,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Wizard Francisco Beltrão",negociacao,2025-11-12,3850,sem lead no Kommo,"nome empresa (FRACO)",17817922,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Wizard Cornelio Procopio",follow_longo,2025-11-12,3850,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Wizard Marechal",negociacao,2025-11-12,3850,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Wizard Foz",negociacao,2025-11-11,3850,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Wizard Concórdia",follow_longo,2025-11-13,3850,sem lead no Kommo,"nome empresa (FRACO)",17817878,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Andy Uniformes",follow_longo,2026-01-08,3700,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Tie Break",follow_longo,2025-12-10,3500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Agante",follow_longo,2024-11-25,3500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Solufrigo",negociacao,2025-10-17,3500,sem lead no Kommo,"nome empresa (FRACO)",16961678,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Geralds Burguer",follow_longo,2025-10-10,3500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Unnus",follow_longo,2025-04-25,3000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Luminus",negociacao,2026-04-15,2500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Bemol",follow_longo,2025-10-17,0,sem lead no Kommo,"nome empresa (FRACO)",15178148,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"RT Impreesões Digitais",follow_longo,2025-03-14,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"PHERCON CONSTRUTORA",follow_longo,2025-04-17,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Koberlack",follow_longo,2026-01-21,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Hacasa",follow_longo,2025-04-10,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Skinão dos Moveis",follow_longo,2026-03-31,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Egv",follow_longo,2025-04-07,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"DDBRITO",follow_longo,2025-05-08,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"BCN Global",negociacao,2026-05-18,0,sem lead no Kommo,"telefone (forte)",17964830,perdido,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"Malus construtora",follow_longo,2026-02-23,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Maquipeças",follow_longo,2026-02-27,0,sem lead no Kommo,"nome empresa (FRACO)",21506497,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"IVA AUTO PEÇAS",follow_longo,2025-04-02,0,sem lead no Kommo,"nome empresa (FRACO)",7235298,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"IMS Incorporadora",follow_longo,2025-09-09,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Art & Concept Incorporadora LTDA",follow_longo,2026-06-26,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"MS Empreendimentos",follow_longo,2025-09-18,0,sem lead no Kommo,"nome empresa (FRACO)",15719370,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"CONSTRUTORA E INCORPORADORA J.A. RUSSI LTDA",follow_longo,2026-07-01,0,sem lead no Kommo,"cnpj (forte)",7235208,alta_prioridade,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"P&J Atacadista",follow_longo,2026-03-17,0,sem lead no Kommo,"nome empresa (FRACO)",21835419,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Giassi Construtora",follow_longo,2025-04-01,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"LCI - Aerovalle",follow_longo,2025-03-05,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"RDC",follow_longo,2025-02-28,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Novo tempo Empreendimentos",follow_longo,2025-02-17,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Forvis Mazars",follow_longo,2025-05-29,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Cia Metalurgica Estampex",follow_longo,2025-06-13,0,sem lead no Kommo,"nome empresa (FRACO)",11115470,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Constrac",follow_longo,2025-04-25,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Remederi",follow_longo,2025-07-16,0,sem lead no Kommo,"nome empresa (FRACO)",13353123,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Top Fritas",follow_longo,2026-03-24,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Hospital Anchieta",follow_longo,2025-09-03,0,sem lead no Kommo,"nome empresa (FRACO)",15496650,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Dr. Nivaldo Iunes",follow_longo,2026-02-18,0,sem lead no Kommo,"nome empresa (FRACO)",21128638,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Procave",follow_longo,2025-08-13,0,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
